Crop,State,year,Area_(in_Ha),Production_(in_Tonnes),Yield_(kg/Ha),MSP,Annual_rainfall,WPI
Gram,Uttar Pradesh,2020,611000.00,759473.00,1243.00,5100,2.165373563,149.4166667
Gram,Uttarakhand,2020,1000.00,751.00,751.00,5100,3.795,149.4166667
Gram,West Bengal,2020,39771.00,50071.69,1259.00,5100,5.26408046,149.4166667
Groundnut,Andaman And Nicobar Islands,2020,5.50,3.03,550.00,5275,0,150.0416667
Groundnut,Andhra Pradesh,2020,870000.00,775084.00,891.00,5275,3.367614943,150.0416667
Groundnut,Arunachal Pradesh,2020,924.00,914.76,990.00,5275,7.532816092,150.0416667
Groundnut,Bihar,2020,779.00,795.36,1021.00,5275,3.886293103,150.0416667
Groundnut,Chhattisgarh,2020,20750.00,31623.00,1524.00,5275,4.031810345,150.0416667
Groundnut,Goa,2020,74.00,164.99,2230.00,5275,11.63140805,150.0416667
Groundnut,Gujarat,2020,2162870.00,4133635.02,1911.00,5275,2.988994253,150.0416667
Groundnut,Haryana,2020,9250.00,9435.00,1020.00,5275,1.379454023,150.0416667
Groundnut,Himachal Pradesh,2020,22.00,21.01,955.00,5275,2.65066092,150.0416667
Groundnut,Jharkhand,2020,25502.00,28001.20,1098.00,5275,3.297471264,150.0416667
Groundnut,Karnataka,2020,721000.00,720559.00,999.00,5275,3.477413793,150.0416667
Groundnut,Kerala,2020,111.00,141.01,1270.00,5275,7.146005747,150.0416667
Groundnut,Madhya Pradesh,2020,293000.00,523423.00,1786.00,5275,2.917011494,150.0416667
Groundnut,Maharashtra,2020,308990.00,407206.53,1318.00,5275,3.371494253,150.0416667
Groundnut,Manipur,2020,3386.00,3010.15,889.00,5275,3.669310345,150.0416667
Groundnut,Nagaland,2020,1060.00,1129.96,1066.00,5275,4.339712644,150.0416667
Groundnut,Odisha,2020,38470.00,77833.56,2023.00,5275,4.300517241,150.0416667
Groundnut,Puducherry,2020,204.00,612.00,3000.00,5275,4.280287356,150.0416667
Groundnut,Punjab,2020,1500.00,2970.00,1980.00,5275,1.616724138,150.0416667
Groundnut,Rajasthan,2020,855728.00,1930582.78,2256.00,5275,1.255114943,150.0416667
Groundnut,Tamil Nadu,2020,409030.00,1023411.11,2502.00,5275,2.749683908,150.0416667
Groundnut,Telangana,2020,127000.00,290260.00,2286.00,5275,3.69658046,150.0416667
Groundnut,Tripura,2020,1996.00,2929.90,1468.00,5275,5.606178161,150.0416667
Groundnut,Uttar Pradesh,2020,91000.00,110019.00,1209.00,5275,2.165373563,150.0416667
Groundnut,Uttarakhand,2020,1000.00,1852.00,1852.00,5275,3.795,150.0416667
Groundnut,West Bengal,2020,71294.00,168466.91,2363.00,5275,5.26408046,150.0416667
Guarseed,Gujarat,2020,293270.30,886838.22,1491.30,5833,2.988994253,171.2583333
Guarseed,Haryana,2020,391431.10,1437732.58,1874.02,1835,1.379454023,171.2583333
Guarseed,Punjab,2020,376960.74,1356522.58,1817.60,1835,1.616724138,171.2583333
Guarseed,Rajasthan,2020,399014.15,1480289.89,1903.59,1835,1.255114943,171.2583333
Guarseed,Uttar Pradesh,2020,343500.33,1168737.35,1687.14,3478,2.165373563,171.2583333
Jowar,Andhra Pradesh,2020,120000.00,411390.00,3428.00,2620,3.367614943,158.6166667
Jowar,Bihar,2020,1225.00,1307.08,1067.00,2620,3.886293103,158.6166667
Jowar,Chhattisgarh,2020,2060.00,2731.56,1326.00,2620,4.031810345,158.6166667
Jowar,Delhi,2020,2950.00,2811.35,953.00,2620,1.394885057,158.6166667
Jowar,Gujarat,2020,41070.00,57430.44,1398.00,2620,2.988994253,158.6166667
Jowar,Haryana,2020,31280.00,16422.00,525.00,2620,1.379454023,158.6166667
Jowar,Jharkhand,2020,1874.00,1234.97,659.00,2620,3.297471264,158.6166667
Jowar,Karnataka,2020,750000.00,903528.00,1205.00,2620,3.477413793,158.6166667
Jowar,Kerala,2020,231.00,203.95,883.00,2620,7.146005747,158.6166667
Jowar,Madhya Pradesh,2020,112000.00,217000.00,1938.00,2620,2.917011494,158.6166667
Jowar,Maharashtra,2020,2078900.00,1746611.50,840.00,2620,3.371494253,158.6166667
Jowar,Nagaland,2020,280.00,269.92,964.00,2620,4.339712644,158.6166667
Jowar,Odisha,2020,5500.00,3470.50,631.00,2620,4.300517241,158.6166667
Jowar,Puducherry,2020,339603.07,2095936.84,6769.63,2620,4.280287356,158.6166667
Jowar,Rajasthan,2020,559686.00,589909.04,1054.00,2620,1.255114943,158.6166667
Jowar,Tamil Nadu,2020,405420.00,427218.12,1054.00,2620,2.749683908,158.6166667
Jowar,Telangana,2020,91000.00,155689.00,1711.00,2620,3.69658046,158.6166667
Jowar,Uttar Pradesh,2020,174000.00,274572.00,1578.00,2620,2.165373563,158.6166667
Jowar,West Bengal,2020,186.00,100.07,538.00,2620,5.26408046,158.6166667
Jute,Assam,2020,62879.00,773761.03,2215.00,4225,6.03566092,221.1083333
Jute,Bihar,2020,42479.00,618305.44,2620.00,4225,3.886293103,221.1083333
Jute,Meghalaya,2020,6680.00,68544.22,1847.00,4225,13.48772989,221.1083333
Jute,Nagaland,2020,2460.00,26062.33,1907.00,4225,4.339712644,221.1083333
Jute,Odisha,2020,760.00,10154.44,2405.00,4225,4.300517241,221.1083333
Jute,Tripura,2020,436.00,3865.87,1596.00,4225,5.606178161,221.1083333
Jute,West Bengal,2020,506164.00,7451858.89,2650.00,4225,5.26408046,221.1083333
Jute & Mesta,Andhra Pradesh,2020,1000.00,10444.44,1880.00,1835,3.367614943,171.2583333
Jute & Mesta,Assam,2020,65997.00,794218.57,2166.00,1834,6.03566092,171.2583333
Jute & Mesta,Bihar,2020,55337.00,787459.58,2561.00,1834,3.886293103,171.2583333
Jute & Mesta,Chhattisgarh,2020,660.00,1312.67,358.00,5837,4.031810345,171.2583333
Jute & Mesta,Meghalaya,2020,11162.00,95012.92,1532.00,5544,13.48772989,171.2583333
Jute & Mesta,Nagaland,2020,4420.00,38116.33,1552.00,4903,4.339712644,171.2583333
Jute & Mesta,Odisha,2020,4530.00,28878.78,1148.00,5800,4.300517241,171.2583333
Jute & Mesta,Tripura,2020,704.00,6225.76,1592.00,4777,5.606178161,171.2583333
Jute & Mesta,West Bengal,2020,518633.00,7592758.59,2635.00,1834,5.26408046,171.2583333
Lentil,Arunachal Pradesh,2020,454.00,360.02,793.00,5100,7.532816092,155.3333333
Lentil,Assam,2020,23268.00,16962.37,729.00,5100,6.03566092,155.3333333
Lentil,Bihar,2020,136532.00,124517.18,912.00,5100,3.886293103,155.3333333
Lentil,Chhattisgarh,2020,14410.00,5821.64,404.00,5100,4.031810345,155.3333333
Lentil,Haryana,2020,1150.00,914.25,795.00,5100,1.379454023,155.3333333
Lentil,Himachal Pradesh,2020,299.00,196.44,657.00,5100,2.65066092,155.3333333
Lentil,Jharkhand,2020,72444.00,63750.72,880.00,5100,3.297471264,155.3333333
Lentil,Ladakh,2020,393610.71,1021987.31,1263.03,5100,1.872557471,155.3333333
Lentil,Madhya Pradesh,2020,542000.00,615170.00,1135.00,5100,2.917011494,155.3333333
Lentil,Manipur,2020,813.00,750.40,923.00,5100,3.669310345,155.3333333
Lentil,Nagaland,2020,2210.00,1821.04,824.00,5100,4.339712644,155.3333333
Lentil,Odisha,2020,9050.00,4760.30,526.00,5100,4.300517241,155.3333333
Lentil,Punjab,2020,600.00,358.80,598.00,5100,1.616724138,155.3333333
Lentil,Rajasthan,2020,20136.00,26821.15,1332.00,5100,1.255114943,155.3333333
Lentil,Tripura,2020,1561.00,1136.41,728.00,5100,5.606178161,155.3333333
Lentil,Uttar Pradesh,2020,472000.00,478608.00,1014.00,5100,2.165373563,155.3333333
Lentil,Uttarakhand,2020,12000.00,9012.00,751.00,5100,3.795,155.3333333
Lentil,West Bengal,2020,158984.00,142608.65,897.00,5100,5.26408046,155.3333333
Linseed,Assam,2020,4920.00,3025.80,615.00,5888,6.03566092,168.7083333
Linseed,Bihar,2020,6372.00,5403.46,848.00,5892,3.886293103,168.7083333
Linseed,Chhattisgarh,2020,12820.00,4922.88,384.00,5888,4.031810345,168.7083333
Linseed,Himachal Pradesh,2020,134.00,66.06,493.00,5888,2.65066092,168.7083333
Linseed,Jammu And Kashmir,2020,300.00,194.40,648.00,5888,3.958965517,168.7083333
Linseed,Jharkhand,2020,45773.00,27692.67,605.00,5888,3.297471264,168.7083333
Linseed,Karnataka,2020,1000.00,449.00,449.00,5888,3.477413793,168.7083333
Linseed,Madhya Pradesh,2020,47000.00,36801.00,783.00,5888,2.917011494,168.7083333
Linseed,Maharashtra,2020,6600.00,2118.60,321.00,5888,3.371494253,168.7083333
Linseed,Meghalaya,2020,95.00,57.00,600.00,5888,13.48772989,168.7083333
Linseed,Nagaland,2020,5870.00,4772.31,813.00,5892,4.339712644,168.7083333
Linseed,Odisha,2020,8520.00,4157.76,488.00,5888,4.300517241,168.7083333
Linseed,Rajasthan,2020,5775.00,6156.15,1066.00,5851,1.255114943,168.7083333
Linseed,Uttar Pradesh,2020,26000.00,14560.00,560.00,5888,2.165373563,168.7083333
Linseed,West Bengal,2020,3687.00,984.43,267.00,5888,5.26408046,168.7083333
Maize,Andaman And Nicobar Islands,2020,41.00,109.88,2680.00,1850,0,151.275
Maize,Andhra Pradesh,2020,301000.00,1780959.00,5917.00,1850,3.367614943,151.275
Maize,Arunachal Pradesh,2020,51151.00,80312.85,1570.00,1850,7.532816092,151.275
Maize,Assam,2020,41154.00,147907.48,3594.00,1850,6.03566092,151.275
Maize,Bihar,2020,649187.00,2084386.92,3211.00,1850,3.886293103,151.275
Maize,Chandigarh,2020,8.00,24.00,3000.00,1850,2.492528736,151.275
Maize,Chhattisgarh,2020,113890.00,341214.44,2996.00,1850,4.031810345,151.275
Maize,Delhi,2020,22.00,112.00,5091.00,1850,1.394885057,151.275
Maize,Gujarat,2020,388930.00,667614.21,1717.00,1850,2.988994253,151.275
Maize,Haryana,2020,6630.00,20062.38,3026.00,1850,1.379454023,151.275
Maize,Himachal Pradesh,2020,267407.00,729218.89,2727.00,1850,2.65066092,151.275
Maize,Jammu And Kashmir,2020,289179.00,508665.86,1759.00,1850,3.958965517,151.275
Maize,Jharkhand,2020,298149.00,651791.89,2186.00,1850,3.297471264,151.275
Maize,Karnataka,2020,1726000.00,5362132.00,3107.00,1850,3.477413793,151.275
Maize,Kerala,2020,108.00,115.96,1074.00,1850,7.146005747,151.275
Maize,Madhya Pradesh,2020,1405000.00,3881547.00,2763.00,1850,2.917011494,151.275
Maize,Maharashtra,2020,1182240.00,3520193.76,2978.00,1850,3.371494253,151.275
Maize,Manipur,2020,25530.00,59733.24,2340.00,1850,3.669310345,151.275
Maize,Meghalaya,2020,18185.00,41825.50,2300.00,1850,13.48772989,151.275
Maize,Mizoram,2020,6946.00,12554.51,1807.00,1850,4.523735632,151.275
Maize,Nagaland,2020,69190.00,137533.46,1988.00,1850,4.339712644,151.275
Maize,Odisha,2020,77920.00,226652.43,2909.00,1850,4.300517241,151.275
Maize,Punjab,2020,107800.00,395087.00,3665.00,1850,1.616724138,151.275
Maize,Rajasthan,2020,993100.00,2269530.87,2285.00,1850,1.255114943,151.275
Maize,Sikkim,2020,38390.00,67950.30,1770.00,1850,9.112873563,151.275
Maize,Tamil Nadu,2020,400210.00,2564728.12,6408.00,1850,2.749683908,151.275
Maize,Telangana,2020,259000.00,1756568.00,6782.00,1850,3.69658046,151.275
Maize,Tripura,2020,21784.00,42742.36,1962.00,1850,5.606178161,151.275
Maize,Uttar Pradesh,2020,773000.00,1818081.00,2352.00,1850,2.165373563,151.275
Maize,Uttarakhand,2020,20000.00,41480.00,2074.00,1850,3.795,151.275
Maize,West Bengal,2020,360810.00,2436077.88,6752.00,1850,5.26408046,151.275
Mesta,Andhra Pradesh,2020,1000.00,10444.44,1880.00,1974,3.367614943,137.275
Mesta,Assam,2020,3118.00,20457.54,1181.00,5690,6.03566092,137.275
Mesta,Bihar,2020,12858.00,169154.13,2368.00,2012,3.886293103,137.275
Mesta,Chhattisgarh,2020,660.00,1312.67,358.00,5777,4.031810345,137.275
Mesta,Meghalaya,2020,4482.00,26468.70,1063.00,5707,13.48772989,137.275
Mesta,Nagaland,2020,1960.00,12054.00,1107.00,5706,4.339712644,137.275
Mesta,Odisha,2020,3770.00,18724.33,894.00,5756,4.300517241,137.275
Mesta,Tripura,2020,268.00,2359.89,1585.00,4691,5.606178161,137.275
Mesta,West Bengal,2020,12469.00,140899.70,2034.00,2012,5.26408046,137.275
Moong,Andaman And Nicobar Islands,2020,231.80,97.36,420.00,7196,0,167.0333333
Moong,Andhra Pradesh,2020,105000.00,81059.00,772.00,7196,3.367614943,167.0333333
Moong,Arunachal Pradesh,2020,1319.00,1363.85,1034.00,7196,7.532816092,167.0333333
Moong,Assam,2020,10905.00,8582.24,787.00,7196,6.03566092,167.0333333
Moong,Bihar,2020,166433.00,93125.11,560.00,7196,3.886293103,167.0333333
Moong,Chhattisgarh,2020,8060.00,3204.62,398.00,7196,4.031810345,167.0333333
Moong,Gujarat,2020,154690.00,110144.44,712.00,7196,2.988994253,167.0333333
Moong,Haryana,2020,45960.00,31023.00,675.00,7196,1.379454023,167.0333333
Moong,Himachal Pradesh,2020,196.00,123.68,631.00,7196,2.65066092,167.0333333
Moong,Jammu And Kashmir,2020,360.00,158.76,441.00,7196,3.958965517,167.0333333
Moong,Jharkhand,2020,25701.00,21331.83,830.00,7196,3.297471264,167.0333333
Moong,Karnataka,2020,453000.00,181935.00,402.00,7196,3.477413793,167.0333333
Moong,Kerala,2020,13470.39,2060575.27,4056.41,7196,7.146005747,167.0333333
Moong,Madhya Pradesh,2020,544000.00,641583.00,1179.00,7196,2.917011494,167.0333333
Moong,Maharashtra,2020,401020.00,207327.34,517.00,7196,3.371494253,167.0333333
Moong,Manipur,2020,490.00,496.86,1014.00,7196,3.669310345,167.0333333
Moong,Nagaland,2020,480.00,510.24,1063.00,7196,4.339712644,167.0333333
Moong,Odisha,2020,235370.00,57900.92,246.00,7196,4.300517241,167.0333333
Moong,Puducherry,2020,605.00,131.29,217.00,7196,4.280287356,167.0333333
Moong,Punjab,2020,24100.00,23351.00,969.00,7196,1.616724138,167.0333333
Moong,Rajasthan,2020,2553051.00,1407191.16,551.00,7196,1.255114943,167.0333333
Moong,Tamil Nadu,2020,160560.00,58886.28,367.00,7196,2.749683908,167.0333333
Moong,Telangana,2020,75000.00,38054.00,507.00,7196,3.69658046,167.0333333
Moong,Tripura,2020,2920.00,2036.28,697.00,7196,5.606178161,167.0333333
Moong,Uttar Pradesh,2020,86000.00,60971.00,709.00,7196,2.165373563,167.0333333
Moong,West Bengal,2020,74719.00,54764.91,733.00,7196,5.26408046,167.0333333
Nigerseed,Andhra Pradesh,2020,4000.00,1820.00,455.00,6695,3.367614943,180.9916667
Nigerseed,Assam,2020,5563.00,3148.66,566.00,6695,6.03566092,180.9916667
Nigerseed,Chhattisgarh,2020,45940.00,9555.52,208.00,6695,4.031810345,180.9916667
Nigerseed,Gujarat,2020,2330.00,992.58,426.00,6695,2.988994253,180.9916667
Nigerseed,Jharkhand,2020,3924.00,1946.30,496.00,6695,3.297471264,180.9916667
Nigerseed,Karnataka,2020,1000.00,247.00,247.00,6695,3.477413793,180.9916667
Nigerseed,Madhya Pradesh,2020,16000.00,5136.00,321.00,6695,2.917011494,180.9916667
Nigerseed,Maharashtra,2020,8200.00,1845.00,225.00,6695,3.371494253,180.9916667
Nigerseed,Odisha,2020,45730.00,17194.48,376.00,6695,4.300517241,180.9916667
Nigerseed,West Bengal,2020,1080.00,564.84,523.00,6695,5.26408046,180.9916667
Other Pulses,Andhra Pradesh,2020,46000.00,32000.00,696.00,5837,3.367614943,171.2583333
Other Pulses,Arunachal Pradesh,2020,8984.00,10102.00,1124.00,5800,7.532816092,171.2583333
Other Pulses,Assam,2020,43815.00,39862.00,910.00,5840,6.03566092,171.2583333
Other Pulses,Bihar,2020,68995.00,71851.00,1041.00,5800,3.886293103,171.2583333
Other Pulses,Chhattisgarh,2020,193170.00,112980.00,585.00,5837,4.031810345,171.2583333
Other Pulses,Goa,2020,3840.00,3748.00,976.00,5854,11.63140805,171.2583333
Other Pulses,Gujarat,2020,68110.00,45790.00,672.00,5837,2.988994253,171.2583333
Other Pulses,Haryana,2020,3710.00,3690.00,995.00,5800,1.379454023,171.2583333
Other Pulses,Himachal Pradesh,2020,26242.00,54521.00,2078.00,1834,2.65066092,171.2583333
Other Pulses,Jammu And Kashmir,2020,15377.00,9631.20,626.00,5837,3.958965517,171.2583333
Other Pulses,Jharkhand,2020,117232.00,111345.00,950.00,5840,3.297471264,171.2583333
Other Pulses,Karnataka,2020,240000.00,148300.00,618.00,5837,3.477413793,171.2583333
Other Pulses,Kerala,2020,1197.00,1084.00,906.00,5840,7.146005747,171.2583333
Other Pulses,Ladakh,2020,1220.00,1095.00,898.00,5840,1.872557471,171.2583333
Other Pulses,Madhya Pradesh,2020,88000.00,90266.00,1026.00,5800,2.917011494,171.2583333
Other Pulses,Maharashtra,2020,266180.00,163290.00,613.00,5837,3.371494253,171.2583333
Other Pulses,Manipur,2020,27000.00,25340.00,939.00,5840,3.669310345,171.2583333
Other Pulses,Meghalaya,2020,5282.00,8490.00,1607.00,4736,13.48772989,171.2583333
Other Pulses,Mizoram,2020,3883.00,5520.00,1422.00,5841,4.523735632,171.2583333
Other Pulses,Nagaland,2020,32950.00,40540.00,1230.00,5849,4.339712644,171.2583333
Other Pulses,Odisha,2020,300990.00,169110.00,562.00,5837,4.300517241,171.2583333
Other Pulses,Puducherry,2020,0.00,0.00,0.00,5837,4.280287356,171.2583333
Other Pulses,Punjab,2020,1500.00,1400.00,933.00,5840,1.616724138,171.2583333
Other Pulses,Rajasthan,2020,1040149.00,385520.00,371.00,5837,1.255114943,171.2583333
Other Pulses,Sikkim,2020,2284.00,2269.00,993.00,5766,9.112873563,171.2583333
Other Pulses,Tamil Nadu,2020,187190.00,133760.00,715.00,5837,2.749683908,171.2583333
Other Pulses,Telangana,2020,10000.00,11000.00,1100.00,5800,3.69658046,171.2583333
Other Pulses,Tripura,2020,7379.00,6222.00,843.00,5840,5.606178161,171.2583333
Other Pulses,Uttar Pradesh,2020,361000.00,562000.00,1557.00,4886,2.165373563,171.2583333
Other Pulses,Uttarakhand,2020,35000.00,35160.00,1005.00,5800,3.795,171.2583333
Other Pulses,West Bengal,2020,115285.00,141372.00,1226.00,5833,5.26408046,171.2583333
Ragi,Andhra Pradesh,2020,33000.00,39501.00,1197.00,3295,3.367614943,224.5916667
Ragi,Arunachal Pradesh,2020,208038.80,1974491.44,9295.43,3295,7.532816092,224.5916667
Ragi,Bihar,2020,2765.00,2582.51,934.00,3295,3.886293103,224.5916667
Ragi,Chhattisgarh,2020,5480.00,1654.96,302.00,3295,4.031810345,224.5916667
Ragi,Dadra And Nagar Haveli,2020,845.00,1395.94,1652.00,3295,6.606724138,224.5916667
Ragi,Gujarat,2020,10470.00,12616.35,1205.00,3295,2.988994253,224.5916667
Ragi,Himachal Pradesh,2020,583.00,490.89,842.00,3295,2.65066092,224.5916667
Ragi,Jammu And Kashmir,2020,0.00,0.00,0.00,3295,3.958965517,224.5916667
Ragi,Jharkhand,2020,18768.00,16403.23,874.00,3295,3.297471264,224.5916667
Ragi,Karnataka,2020,785000.00,1369825.00,1745.00,3295,3.477413793,224.5916667
Ragi,Kerala,2020,230.00,330.05,1435.00,3295,7.146005747,224.5916667
Ragi,Maharashtra,2020,81600.00,93921.60,1151.00,3295,3.371494253,224.5916667
Ragi,Nagaland,2020,350.00,339.85,971.00,3295,4.339712644,224.5916667
Ragi,Odisha,2020,41310.00,32882.76,796.00,3295,4.300517241,224.5916667
Ragi,Puducherry,2020,45.00,108.99,2422.00,3295,4.280287356,224.5916667
Ragi,Sikkim,2020,111676.05,1433688.08,8919.71,3295,9.112873563,224.5916667
Ragi,Tamil Nadu,2020,82920.00,288644.52,3481.00,3295,2.749683908,224.5916667
Ragi,Uttarakhand,2020,89000.00,129851.00,1459.00,3295,3.795,224.5916667
Ragi,West Bengal,2020,6029.00,6469.12,1073.00,3295,5.26408046,224.5916667
Rapeseed & Mustard,Andhra Pradesh,2020,1000.00,641.00,641.00,4650,3.367614943,157.2416667
Rapeseed & Mustard,Arunachal Pradesh,2020,28290.00,29110.41,1029.00,4650,7.532816092,157.2416667
Rapeseed & Mustard,Assam,2020,286353.00,185270.39,647.00,4650,6.03566092,157.2416667
Rapeseed & Mustard,Bihar,2020,75137.00,95499.13,1271.00,4650,3.886293103,157.2416667
Rapeseed & Mustard,Chhattisgarh,2020,36220.00,18725.74,517.00,4650,4.031810345,157.2416667
Rapeseed & Mustard,Delhi,2020,3640.00,4590.04,1261.00,4650,1.394885057,157.2416667
Rapeseed & Mustard,Gujarat,2020,214670.00,424187.92,1976.00,4650,2.988994253,157.2416667
Rapeseed & Mustard,Haryana,2020,647500.00,1313130.00,2028.00,4650,1.379454023,157.2416667
Rapeseed & Mustard,Himachal Pradesh,2020,8278.00,6763.13,817.00,4650,2.65066092,157.2416667
Rapeseed & Mustard,Jammu And Kashmir,2020,48220.00,31680.54,657.00,4650,3.958965517,157.2416667
Rapeseed & Mustard,Jharkhand,2020,430729.00,343721.74,798.00,4650,3.297471264,157.2416667
Rapeseed & Mustard,Kerala,2020,90651.35,408935.57,1209.39,4650,7.146005747,157.2416667
Rapeseed & Mustard,Ladakh,2020,412262.40,1395997.85,2463.34,4650,1.872557471,157.2416667
Rapeseed & Mustard,Madhya Pradesh,2020,749000.00,1307005.00,1745.00,4650,2.917011494,157.2416667
Rapeseed & Mustard,Maharashtra,2020,24940.00,8978.40,360.00,4650,3.371494253,157.2416667
Rapeseed & Mustard,Manipur,2020,29570.00,25341.49,857.00,4650,3.669310345,157.2416667
Rapeseed & Mustard,Meghalaya,2020,9886.00,9263.18,937.00,4650,13.48772989,157.2416667
Rapeseed & Mustard,Mizoram,2020,525.00,383.78,731.00,4650,4.523735632,157.2416667
Rapeseed & Mustard,Nagaland,2020,27510.00,28060.20,1020.00,4650,4.339712644,157.2416667
Rapeseed & Mustard,Odisha,2020,6870.00,1923.60,280.00,4650,4.300517241,157.2416667
Rapeseed & Mustard,Punjab,2020,31600.00,50402.00,1595.00,4650,1.616724138,157.2416667
Rapeseed & Mustard,Rajasthan,2020,2716816.00,4550666.80,1675.00,4650,1.255114943,157.2416667
Rapeseed & Mustard,Sikkim,2020,3170.00,2783.26,878.00,4650,9.112873563,157.2416667
Rapeseed & Mustard,Tamil Nadu,2020,290.00,67.57,233.00,4650,2.749683908,157.2416667
Rapeseed & Mustard,Telangana,2020,2000.00,2420.00,1210.00,4650,3.69658046,157.2416667
Rapeseed & Mustard,Tripura,2020,7391.00,6274.96,849.00,4650,5.606178161,157.2416667
Rapeseed & Mustard,Uttar Pradesh,2020,701000.00,1008038.00,1438.00,4650,2.165373563,157.2416667
Rapeseed & Mustard,Uttarakhand,2020,16000.00,14048.00,878.00,4650,3.795,157.2416667
Rapeseed & Mustard,West Bengal,2020,592758.00,740947.50,1250.00,4650,5.26408046,157.2416667
Rice,Andaman And Nicobar Islands,2020,6256.00,13344.05,2133.00,1868,0,155.225
Rice,Andhra Pradesh,2020,2323500.00,7882857.50,3393.00,1868,3.367614943,155.225
Rice,Arunachal Pradesh,2020,133765.00,247079.53,1847.00,1868,7.532816092,155.225
Rice,Assam,2020,2360470.00,5214761.44,2209.00,1868,6.03566092,155.225
Rice,Bihar,2020,3020860.00,6746989.10,2233.00,1868,3.886293103,155.225
Rice,Chandigarh,2020,80.00,440.00,5500.00,1868,2.492528736,155.225
Rice,Chhattisgarh,2020,3791000.00,7161199.00,1889.00,1868,4.031810345,155.225
Rice,Dadra And Nagar Haveli,2020,15853.00,32942.53,2078.00,1868,6.606724138,155.225
Rice,Delhi,2020,6171.00,19747.20,3200.00,1868,1.394885057,155.225
Rice,Goa,2020,32677.00,87340.88,2673.00,1868,11.63140805,155.225
Rice,Gujarat,2020,906630.00,2145700.02,2367.00,1868,2.988994253,155.225
Rice,Haryana,2020,1327200.00,4424884.80,3334.00,1868,1.379454023,155.225
Rice,Himachal Pradesh,2020,68455.00,140469.66,2052.00,1868,2.65066092,155.225
Rice,Jammu And Kashmir,2020,267580.00,581451.34,2173.00,1868,3.958965517,155.225
Rice,Jharkhand,2020,1411000.00,2752861.00,1951.00,1868,3.297471264,155.225
Rice,Karnataka,2020,1397100.00,4291746.30,3072.00,1868,3.477413793,155.225
Rice,Kerala,2020,205040.00,633767.27,3091.00,1868,7.146005747,155.225
Rice,Madhya Pradesh,2020,2117000.00,4413790.00,2085.00,1868,2.917011494,155.225
Rice,Maharashtra,2020,1560570.00,3291663.57,2109.00,1868,3.371494253,155.225
Rice,Manipur,2020,225770.00,602151.20,2667.00,1868,3.669310345,155.225
Rice,Meghalaya,2020,107597.00,295847.38,2750.00,1868,13.48772989,155.225
Rice,Mizoram,2020,35246.00,62187.59,1764.00,1868,4.523735632,155.225
Rice,Nagaland,2020,218810.00,367388.00,1679.00,1868,4.339712644,155.225
Rice,Odisha,2020,4038240.00,8810295.80,2182.00,1868,4.300517241,155.225
Rice,Puducherry,2020,18147.00,50006.71,2756.00,1868,4.280287356,155.225
Rice,Punjab,2020,2928000.00,12783648.00,4366.00,1868,1.616724138,155.225
Rice,Rajasthan,2020,231472.00,634001.81,2739.00,1868,1.255114943,155.225
Rice,Sikkim,2020,8702.00,16194.42,1861.00,1868,9.112873563,155.225
Rice,Tamil Nadu,2020,2036240.00,6881163.07,3379.00,1868,2.749683908,155.225
Rice,Telangana,2020,3186400.00,10217134.40,3206.00,1868,3.69658046,155.225
Rice,Tripura,2020,263793.00,803121.16,3045.00,1868,5.606178161,155.225
Rice,Uttar Pradesh,2020,5678000.00,15520024.00,2733.00,1868,2.165373563,155.225
Rice,Uttarakhand,2020,254000.00,714876.00,2814.00,1868,3.795,155.225
Rice,West Bengal,2020,5585629.00,16524436.28,2958.00,1868,5.26408046,155.225
Safflower,Andhra Pradesh,2020,1000.00,490.00,490.00,5327,3.367614943,166.4083333
Safflower,Bihar,2020,91.00,73.98,813.00,5327,3.886293103,166.4083333
Safflower,Chhattisgarh,2020,69.00,28.15,408.00,5327,4.031810345,166.4083333
Safflower,Jharkhand,2020,729.00,453.44,622.00,5327,3.297471264,166.4083333
Safflower,Karnataka,2020,29000.00,19285.00,665.00,5327,3.477413793,166.4083333
Safflower,Maharashtra,2020,21400.00,12176.60,569.00,5327,3.371494253,166.4083333
Safflower,Odisha,2020,160.00,100.00,625.00,5327,4.300517241,166.4083333
Safflower,Telangana,2020,3000.00,2793.00,931.00,5327,3.69658046,166.4083333
Safflower,West Bengal,2020,18.00,11.16,620.00,5327,5.26408046,166.4083333
Sannhemp,Bihar,2020,238546.86,579721.39,1277.93,5833,3.886293103,171.2583333
Sannhemp,Chhattisgarh,2020,229672.22,529915.47,1243.33,5833,4.031810345,171.2583333
Sannhemp,Jammu And Kashmir,2020,234114.79,554847.94,1260.65,5776,3.958965517,171.2583333
Sannhemp,Karnataka,2020,263483.12,719667.76,1375.16,5833,3.477413793,171.2583333
Sannhemp,Odisha,2020,213284.63,437945.66,1179.44,5833,4.300517241,171.2583333
Sannhemp,Rajasthan,2020,399014.15,1480289.89,1903.59,1835,1.255114943,171.2583333
Sannhemp,Uttar Pradesh,2020,343500.33,1168737.35,1687.14,3478,2.165373563,171.2583333
Sannhemp,West Bengal,2020,154519.93,108148.65,950.32,5840,5.26408046,171.2583333
Sesamum,Andaman And Nicobar Islands,2020,1.50,0.90,600.00,6855,0,185.6416667
Sesamum,Andhra Pradesh,2020,36001.00,8712.00,242.00,6855,3.367614943,185.6416667
