Crop,State,Crop_Year,Area_(in_Ha),Production_(in_Tonnes),Yield_(kg/Ha),MSP,Annual_rainfall,WPI
Lentil,Ladakh,2020,393610.7094,1021987.308,1263.033457,5100,1.872557471,155.3333333
Lentil,Madhya Pradesh,2020,542000,615170,1135,5100,2.917011494,155.3333333
Lentil,Manipur,2020,813,750.4,923,5100,3.669310345,155.3333333
Lentil,Nagaland,2020,2210,1821.04,824,5100,4.339712644,155.3333333
Lentil,Odisha,2020,9050,4760.3,526,5100,4.300517241,155.3333333
Lentil,Punjab,2020,600,358.8,598,5100,1.616724138,155.3333333
Lentil,Rajasthan,2020,20136,26821.15,1332,5100,1.255114943,155.3333333
Lentil,Tripura,2020,1561,1136.41,728,5100,5.606178161,155.3333333
Lentil,Uttar Pradesh,2020,472000,478608,1014,5100,2.165373563,155.3333333
Lentil,Uttarakhand,2020,12000,9012,751,5100,3.795,155.3333333
Lentil,West Bengal,2020,158984,142608.65,897,5100,5.26408046,155.3333333
Linseed,Assam,2020,4920,3025.8,615,5888.36,6.03566092,168.7083333
Linseed,Bihar,2020,6372,5403.46,848,5891.56,3.886293103,168.7083333
Linseed,Chhattisgarh,2020,12820,4922.88,384,5888.36,4.031810345,168.7083333
Linseed,Himachal Pradesh,2020,134,66.06,493,5888.36,2.65066092,168.7083333
Linseed,Jammu And Kashmir,2020,300,194.4,648,5888.36,3.958965517,168.7083333
Linseed,Jharkhand,2020,45773,27692.67,605,5888.36,3.297471264,168.7083333
Linseed,Karnataka,2020,1000,449,449,5888.36,3.477413793,168.7083333
Linseed,Madhya Pradesh,2020,47000,36801,783,5888.36,2.917011494,168.7083333
Linseed,Maharashtra,2020,6600,2118.6,321,5888.36,3.371494253,168.7083333
Linseed,Meghalaya,2020,95,57,600,5888.36,13.48772989,168.7083333
Linseed,Nagaland,2020,5870,4772.31,813,5891.56,4.339712644,168.7083333
Linseed,Odisha,2020,8520,4157.76,488,5888.36,4.300517241,168.7083333
Linseed,Rajasthan,2020,5775,6156.15,1066,5851.46,1.255114943,168.7083333
Linseed,Uttar Pradesh,2020,26000,14560,560,5888.36,2.165373563,168.7083333
Linseed,West Bengal,2020,3687,984.43,267,5888.36,5.26408046,168.7083333
Maize,Andaman And Nicobar Islands,2020,41,109.88,2680,1850,0,151.275
Maize,Andhra Pradesh,2020,301000,1780959,5917,1850,3.367614943,151.275
Maize,Arunachal Pradesh,2020,51151,80312.85,1570,1850,7.532816092,151.275
Maize,Assam,2020,41154,147907.48,3594,1850,6.03566092,151.275
Maize,Bihar,2020,649187,2084386.92,3211,1850,3.886293103,151.275
Maize,Chandigarh,2020,8,24,3000,1850,2.492528736,151.275
Maize,Chhattisgarh,2020,113890,341214.44,2996,1850,4.031810345,151.275
Maize,Delhi,2020,22,112,5091,1850,1.394885057,151.275
Maize,Gujarat,2020,388930,667614.21,1717,1850,2.988994253,151.275
Maize,Haryana,2020,6630,20062.38,3026,1850,1.379454023,151.275
Maize,Himachal Pradesh,2020,267407,729218.89,2727,1850,2.65066092,151.275
Maize,Jammu And Kashmir,2020,289179,508665.86,1759,1850,3.958965517,151.275
Maize,Jharkhand,2020,298149,651791.89,2186,1850,3.297471264,151.275
Maize,Karnataka,2020,1726000,5362132,3107,1850,3.477413793,151.275
Maize,Kerala,2020,108,115.96,1074,1850,7.146005747,151.275
Maize,Madhya Pradesh,2020,1405000,3881547,2763,1850,2.917011494,151.275
Maize,Maharashtra,2020,1182240,3520193.76,2978,1850,3.371494253,151.275
Maize,Manipur,2020,25530,59733.24,2340,1850,3.669310345,151.275
Maize,Meghalaya,2020,18185,41825.5,2300,1850,13.48772989,151.275
Maize,Mizoram,2020,6946,12554.51,1807,1850,4.523735632,151.275
Maize,Nagaland,2020,69190,137533.46,1988,1850,4.339712644,151.275
Maize,Odisha,2020,77920,226652.43,2909,1850,4.300517241,151.275
Maize,Punjab,2020,107800,395087,3665,1850,1.616724138,151.275
Maize,Rajasthan,2020,993100,2269530.87,2285,1850,1.255114943,151.275
Maize,Sikkim,2020,38390,67950.3,1770,1850,9.112873563,151.275
Maize,Tamil Nadu,2020,400210,2564728.12,6408,1850,2.749683908,151.275
Maize,Telangana,2020,259000,1756568,6782,1850,3.69658046,151.275
Maize,Tripura,2020,21784,42742.36,1962,1850,5.606178161,151.275
Maize,Uttar Pradesh,2020,773000,1818081,2352,1850,2.165373563,151.275
Maize,Uttarakhand,2020,20000,41480,2074,1850,3.795,151.275
Maize,West Bengal,2020,360810,2436077.88,6752,1850,5.26408046,151.275
Mesta,Andhra Pradesh,2020,1000,10444.44,1880,1973.77,3.367614943,137.275
Mesta,Assam,2020,3118,20457.54,1181,5690.4,6.03566092,137.275
Mesta,Bihar,2020,12858,169154.13,2368,2012.12,3.886293103,137.275
Mesta,Chhattisgarh,2020,660,1312.67,358,5776.65,4.031810345,137.275
Mesta,Meghalaya,2020,4482,26468.7,1063,5706.73,13.48772989,137.275
Mesta,Nagaland,2020,1960,12054,1107,5706.2,4.339712644,137.275
Mesta,Odisha,2020,3770,18724.33,894,5755.9,4.300517241,137.275
Mesta,Tripura,2020,268,2359.89,1585,4690.69,5.606178161,137.275
Mesta,West Bengal,2020,12469,140899.7,2034,2012.12,5.26408046,137.275
Moong,Andaman And Nicobar Islands,2020,231.8,97.36,420,7196,0,167.0333333
Moong,Andhra Pradesh,2020,105000,81059,772,7196,3.367614943,167.0333333
Moong,Arunachal Pradesh,2020,1319,1363.85,1034,7196,7.532816092,167.0333333
Moong,Assam,2020,10905,8582.24,787,7196,6.03566092,167.0333333
Moong,Bihar,2020,166433,93125.11,560,7196,3.886293103,167.0333333
Moong,Chhattisgarh,2020,8060,3204.62,398,7196,4.031810345,167.0333333
Moong,Gujarat,2020,154690,110144.44,712,7196,2.988994253,167.0333333
Moong,Haryana,2020,45960,31023,675,7196,1.379454023,167.0333333
Moong,Himachal Pradesh,2020,196,123.68,631,7196,2.65066092,167.0333333
Moong,Jammu And Kashmir,2020,360,158.76,441,7196,3.958965517,167.0333333
Moong,Jharkhand,2020,25701,21331.83,830,7196,3.297471264,167.0333333
Moong,Karnataka,2020,453000,181935,402,7196,3.477413793,167.0333333
Moong,Kerala,2020,13470.39376,-2060575.272,-4056.407363,7196,7.146005747,167.0333333
Moong,Madhya Pradesh,2020,544000,641583,1179,7196,2.917011494,167.0333333
Moong,Maharashtra,2020,401020,207327.34,517,7196,3.371494253,167.0333333
Moong,Manipur,2020,490,496.86,1014,7196,3.669310345,167.0333333
Moong,Nagaland,2020,480,510.24,1063,7196,4.339712644,167.0333333
Moong,Odisha,2020,235370,57900.92,246,7196,4.300517241,167.0333333
Moong,Puducherry,2020,605,131.29,217,7196,4.280287356,167.0333333
Moong,Punjab,2020,24100,23351,969,7196,1.616724138,167.0333333
Moong,Rajasthan,2020,2553051,1407191.16,551,7196,1.255114943,167.0333333
Moong,Tamil Nadu,2020,160560,58886.28,367,7196,2.749683908,167.0333333
Moong,Telangana,2020,75000,38054,507,7196,3.69658046,167.0333333
Moong,Tripura,2020,2920,2036.28,697,7196,5.606178161,167.0333333
Moong,Uttar Pradesh,2020,86000,60971,709,7196,2.165373563,167.0333333
Moong,West Bengal,2020,74719,54764.91,733,7196,5.26408046,167.0333333
Nigerseed,Andhra Pradesh,2020,4000,1820,455,6695,3.367614943,180.9916667
Nigerseed,Assam,2020,5563,3148.66,566,6695,6.03566092,180.9916667
Nigerseed,Chhattisgarh,2020,45940,9555.52,208,6695,4.031810345,180.9916667
Nigerseed,Gujarat,2020,2330,992.58,426,6695,2.988994253,180.9916667
Nigerseed,Jharkhand,2020,3924,1946.3,496,6695,3.297471264,180.9916667
Nigerseed,Karnataka,2020,1000,247,247,6695,3.477413793,180.9916667
Nigerseed,Madhya Pradesh,2020,16000,5136,321,6695,2.917011494,180.9916667
Nigerseed,Maharashtra,2020,8200,1845,225,6695,3.371494253,180.9916667
Nigerseed,Odisha,2020,45730,17194.48,376,6695,4.300517241,180.9916667
Nigerseed,West Bengal,2020,1080,564.84,523,6695,5.26408046,180.9916667
Other Pulses,Andhra Pradesh,2020,46000,32000,696,5837.26,3.367614943,171.2583333
Other Pulses,Arunachal Pradesh,2020,8984,10102,1124,5800.36,7.532816092,171.2583333
Other Pulses,Assam,2020,43815,39862,910,5840.46,6.03566092,171.2583333
Other Pulses,Bihar,2020,68995,71851,1041,5800.21,3.886293103,171.2583333
Other Pulses,Chhattisgarh,2020,193170,112980,585,5837.26,4.031810345,171.2583333
Other Pulses,Goa,2020,3840,3748,976,5853.53,11.63140805,171.2583333
Other Pulses,Gujarat,2020,68110,45790,672,5837.26,2.988994253,171.2583333
Other Pulses,Haryana,2020,3710,3690,995,5800.21,1.379454023,171.2583333
Other Pulses,Himachal Pradesh,2020,26242,54521,2078,1833.71,2.65066092,171.2583333
Other Pulses,Jammu And Kashmir,2020,15377,9631.2,626,5837.26,3.958965517,171.2583333
Other Pulses,Jharkhand,2020,117232,111345,950,5840.46,3.297471264,171.2583333
Other Pulses,Karnataka,2020,240000,148300,618,5837.26,3.477413793,171.2583333
Other Pulses,Kerala,2020,1197,1084,906,5840.46,7.146005747,171.2583333
Other Pulses,Ladakh,2020,1220,1095,898,5840.46,1.872557471,171.2583333
Other Pulses,Madhya Pradesh,2020,88000,90266,1026,5800.21,2.917011494,171.2583333
Other Pulses,Maharashtra,2020,266180,163290,613,5837.26,3.371494253,171.2583333
Other Pulses,Manipur,2020,27000,25340,939,5840.46,3.669310345,171.2583333
Other Pulses,Meghalaya,2020,5282,8490,1607,4735.54,13.48772989,171.2583333
Other Pulses,Mizoram,2020,3883,5520,1422,5841.26,4.523735632,171.2583333
Other Pulses,Nagaland,2020,32950,40540,1230,5848.76,4.339712644,171.2583333
Other Pulses,Odisha,2020,300990,169110,562,5837.26,4.300517241,171.2583333
Other Pulses,Puducherry,2020,0,0,0,5837.26,4.280287356,171.2583333
Other Pulses,Punjab,2020,1500,1400,933,5840.46,1.616724138,171.2583333
Other Pulses,Rajasthan,2020,1040149,385520,371,5837.26,1.255114943,171.2583333
Other Pulses,Sikkim,2020,2284,2269,993,5766.21,9.112873563,171.2583333
Other Pulses,Tamil Nadu,2020,187190,133760,715,5837.26,2.749683908,171.2583333
Other Pulses,Telangana,2020,10000,11000,1100,5800.36,3.69658046,171.2583333
Other Pulses,Tripura,2020,7379,6222,843,5840.46,5.606178161,171.2583333
Other Pulses,Uttar Pradesh,2020,361000,562000,1557,4886.11,2.165373563,171.2583333
Other Pulses,Uttarakhand,2020,35000,35160,1005,5800.21,3.795,171.2583333
Other Pulses,West Bengal,2020,115285,141372,1226,5833.26,5.26408046,171.2583333
Ragi,Andhra Pradesh,2020,33000,39501,1197,3295,3.367614943,224.5916667
Ragi,Arunachal Pradesh,2020,208038.7965,1974491.44,9295.425407,3295,7.532816092,224.5916667
Ragi,Bihar,2020,2765,2582.51,934,3295,3.886293103,224.5916667
Ragi,Chhattisgarh,2020,5480,1654.96,302,3295,4.031810345,224.5916667
Ragi,Dadra And Nagar Haveli,2020,845,1395.94,1652,3295,6.606724138,224.5916667
Ragi,Gujarat,2020,10470,12616.35,1205,3295,2.988994253,224.5916667
Ragi,Himachal Pradesh,2020,583,490.89,842,3295,2.65066092,224.5916667
Ragi,Jammu And Kashmir,2020,0,0,0,3295,3.958965517,224.5916667
Ragi,Jharkhand,2020,18768,16403.23,874,3295,3.297471264,224.5916667
Ragi,Karnataka,2020,785000,1369825,1745,3295,3.477413793,224.5916667
Ragi,Kerala,2020,230,330.05,1435,3295,7.146005747,224.5916667
Ragi,Maharashtra,2020,81600,93921.6,1151,3295,3.371494253,224.5916667
Ragi,Nagaland,2020,350,339.85,971,3295,4.339712644,224.5916667
Ragi,Odisha,2020,41310,32882.76,796,3295,4.300517241,224.5916667
Ragi,Puducherry,2020,45,108.99,2422,3295,4.280287356,224.5916667
Ragi,Sikkim,2020,111676.0528,1433688.082,8919.712225,3295,9.112873563,224.5916667
Ragi,Tamil Nadu,2020,82920,288644.52,3481,3295,2.749683908,224.5916667
Ragi,Uttarakhand,2020,89000,129851,1459,3295,3.795,224.5916667
Ragi,West Bengal,2020,6029,6469.12,1073,3295,5.26408046,224.5916667
Rapeseed & Mustard,Andhra Pradesh,2020,1000,641,641,4650,3.367614943,157.2416667
Rapeseed & Mustard,Arunachal Pradesh,2020,28290,29110.41,1029,4650,7.532816092,157.2416667
Rapeseed & Mustard,Assam,2020,286353,185270.39,647,4650,6.03566092,157.2416667
Rapeseed & Mustard,Bihar,2020,75137,95499.13,1271,4650,3.886293103,157.2416667
Rapeseed & Mustard,Chhattisgarh,2020,36220,18725.74,517,4650,4.031810345,157.2416667
Rapeseed & Mustard,Delhi,2020,3640,4590.04,1261,4650,1.394885057,157.2416667
Rapeseed & Mustard,Gujarat,2020,214670,424187.92,1976,4650,2.988994253,157.2416667
Rapeseed & Mustard,Haryana,2020,647500,1313130,2028,4650,1.379454023,157.2416667
Rapeseed & Mustard,Himachal Pradesh,2020,8278,6763.13,817,4650,2.65066092,157.2416667
Rapeseed & Mustard,Jammu And Kashmir,2020,48220,31680.54,657,4650,3.958965517,157.2416667
Rapeseed & Mustard,Jharkhand,2020,430729,343721.74,798,4650,3.297471264,157.2416667
Rapeseed & Mustard,Kerala,2020,90651.34843,-408935.5722,1209.393325,4650,7.146005747,157.2416667
Rapeseed & Mustard,Ladakh,2020,412262.4,1395997.849,2463.337608,4650,1.872557471,157.2416667
Rapeseed & Mustard,Madhya Pradesh,2020,749000,1307005,1745,4650,2.917011494,157.2416667
Rapeseed & Mustard,Maharashtra,2020,24940,8978.4,360,4650,3.371494253,157.2416667
Rapeseed & Mustard,Manipur,2020,29570,25341.49,857,4650,3.669310345,157.2416667
Rapeseed & Mustard,Meghalaya,2020,9886,9263.18,937,4650,13.48772989,157.2416667
Rapeseed & Mustard,Mizoram,2020,525,383.78,731,4650,4.523735632,157.2416667
Rapeseed & Mustard,Nagaland,2020,27510,28060.2,1020,4650,4.339712644,157.2416667
Rapeseed & Mustard,Odisha,2020,6870,1923.6,280,4650,4.300517241,157.2416667
Rapeseed & Mustard,Punjab,2020,31600,50402,1595,4650,1.616724138,157.2416667
Rapeseed & Mustard,Rajasthan,2020,2716816,4550666.8,1675,4650,1.255114943,157.2416667
Rapeseed & Mustard,Sikkim,2020,3170,2783.26,878,4650,9.112873563,157.2416667
Rapeseed & Mustard,Tamil Nadu,2020,290,67.57,233,4650,2.749683908,157.2416667
Rapeseed & Mustard,Telangana,2020,2000,2420,1210,4650,3.69658046,157.2416667
Rapeseed & Mustard,Tripura,2020,7391,6274.96,849,4650,5.606178161,157.2416667
Rapeseed & Mustard,Uttar Pradesh,2020,701000,1008038,1438,4650,2.165373563,157.2416667
Rapeseed & Mustard,Uttarakhand,2020,16000,14048,878,4650,3.795,157.2416667
Rapeseed & Mustard,West Bengal,2020,592758,740947.5,1250,4650,5.26408046,157.2416667
Rice,Andaman And Nicobar Islands,2020,6256,13344.05,2133,1868,0,155.225
Rice,Andhra Pradesh,2020,2323500,7882857.5,3393,1868,3.367614943,155.225
Rice,Arunachal Pradesh,2020,133765,247079.53,1847,1868,7.532816092,155.225
Rice,Assam,2020,2360470,5214761.44,2209,1868,6.03566092,155.225
Rice,Bihar,2020,3020860,6746989.1,2233,1868,3.886293103,155.225
Rice,Chandigarh,2020,80,440,5500,1868,2.492528736,155.225
Rice,Chhattisgarh,2020,3791000,7161199,1889,1868,4.031810345,155.225
Rice,Dadra And Nagar Haveli,2020,15853,32942.53,2078,1868,6.606724138,155.225
Rice,Delhi,2020,6171,19747.2,3200,1868,1.394885057,155.225
Rice,Goa,2020,32677,87340.88,2673,1868,11.63140805,155.225
Rice,Gujarat,2020,906630,2145700.02,2367,1868,2.988994253,155.225
Rice,Haryana,2020,1327200,4424884.8,3334,1868,1.379454023,155.225
Rice,Himachal Pradesh,2020,68455,140469.66,2052,1868,2.65066092,155.225
Rice,Jammu And Kashmir,2020,267580,581451.34,2173,1868,3.958965517,155.225
Rice,Jharkhand,2020,1411000,2752861,1951,1868,3.297471264,155.225
Rice,Karnataka,2020,1397100,4291746.3,3072,1868,3.477413793,155.225
Rice,Kerala,2020,205040,633767.27,3091,1868,7.146005747,155.225
Rice,Madhya Pradesh,2020,2117000,4413790,2085,1868,2.917011494,155.225
Rice,Maharashtra,2020,1560570,3291663.57,2109,1868,3.371494253,155.225
Rice,Manipur,2020,225770,602151.2,2667,1868,3.669310345,155.225
Rice,Meghalaya,2020,107597,295847.38,2750,1868,13.48772989,155.225
Rice,Mizoram,2020,35246,62187.59,1764,1868,4.523735632,155.225
Rice,Nagaland,2020,218810,367388,1679,1868,4.339712644,155.225
Rice,Odisha,2020,4038240,8810295.8,2182,1868,4.300517241,155.225
Rice,Puducherry,2020,18147,50006.71,2756,1868,4.280287356,155.225
Rice,Punjab,2020,2928000,12783648,4366,1868,1.616724138,155.225
Rice,Rajasthan,2020,231472,634001.81,2739,1868,1.255114943,155.225
Rice,Sikkim,2020,8702,16194.42,1861,1868,9.112873563,155.225
Rice,Tamil Nadu,2020,2036240,6881163.07,3379,1868,2.749683908,155.225
Rice,Telangana,2020,3186400,10217134.4,3206,1868,3.69658046,155.225
Rice,Tripura,2020,263793,803121.16,3045,1868,5.606178161,155.225
Rice,Uttar Pradesh,2020,5678000,15520024,2733,1868,2.165373563,155.225
Rice,Uttarakhand,2020,254000,714876,2814,1868,3.795,155.225
Rice,West Bengal,2020,5585629,16524436.28,2958,1868,5.26408046,155.225
Safflower,Andhra Pradesh,2020,1000,490,490,5327,3.367614943,166.4083333
Safflower,Bihar,2020,91,73.98,813,5327,3.886293103,166.4083333
Safflower,Chhattisgarh,2020,69,28.15,408,5327,4.031810345,166.4083333
Safflower,Jharkhand,2020,729,453.44,622,5327,3.297471264,166.4083333
Safflower,Karnataka,2020,29000,19285,665,5327,3.477413793,166.4083333
Safflower,Maharashtra,2020,21400,12176.6,569,5327,3.371494253,166.4083333
Safflower,Odisha,2020,160,100,625,5327,4.300517241,166.4083333
Safflower,Telangana,2020,3000,2793,931,5327,3.69658046,166.4083333
Safflower,West Bengal,2020,18,11.16,620,5327,5.26408046,166.4083333
Sannhemp,Bihar,2020,238546.8557,579721.392,1277.931965,5833.26,3.886293103,171.2583333
Sannhemp,Chhattisgarh,2020,229672.2161,529915.474,1243.33022,5833.26,4.031810345,171.2583333
Sannhemp,Jammu And Kashmir,2020,234114.7934,554847.9388,1260.651591,5776.16,3.958965517,171.2583333
Sannhemp,Karnataka,2020,263483.121,719667.7598,1375.157129,5833.26,3.477413793,171.2583333
Sannhemp,Odisha,2020,213284.6262,437945.6598,1179.435884,5833.26,4.300517241,171.2583333
Sannhemp,Rajasthan,2020,399014.1498,1480289.891,1903.58536,1834.78,1.255114943,171.2583333
Sannhemp,Uttar Pradesh,2020,343500.3347,1168737.351,1687.139965,3477.5,2.165373563,171.2583333
Sannhemp,West Bengal,2020,154519.9311,108148.6531,950.3154819,5840.46,5.26408046,171.2583333
Sesamum,Andaman And Nicobar Islands,2020,1.5,0.9,600,6855,0,185.6416667
Sesamum,Andhra Pradesh,2020,36001,8712,242,6855,3.367614943,185.6416667
Sesamum,Arunachal Pradesh,2020,2060,1854,900,6855,7.532816092,185.6416667
Sesamum,Assam,2020,12128,8174.27,674,6855,6.03566092,185.6416667
Sesamum,Bihar,2020,1142,998.11,874,6855,3.886293103,185.6416667
Sesamum,Chhattisgarh,2020,13630,6078.98,446,6855,4.031810345,185.6416667
Sesamum,Gujarat,2020,173960,82283.08,473,6855,2.988994253,185.6416667
Sesamum,Haryana,2020,1740,783,450,6855,1.379454023,185.6416667
Sesamum,Himachal Pradesh,2020,1943,569.3,293,6855,2.65066092,185.6416667
Sesamum,Jammu And Kashmir,2020,2750,1105.5,402,6855,3.958965517,185.6416667
Sesamum,Jharkhand,2020,5647,2196.68,389,6855,3.297471264,185.6416667
Sesamum,Karnataka,2020,22000,20262,921,6855,3.477413793,185.6416667
Sesamum,Kerala,2020,595,147.56,248,6855,7.146005747,185.6416667
Sesamum,Madhya Pradesh,2020,424000,195040,460,6855,2.917011494,185.6416667
Sesamum,Maharashtra,2020,28700,6514.9,227,6855,3.371494253,185.6416667
Sesamum,Meghalaya,2020,2386,2235.68,937,6855,13.48772989,185.6416667
Sesamum,Mizoram,2020,686,513.81,749,6855,4.523735632,185.6416667
Sesamum,Nagaland,2020,3750,2321.25,619,6855,4.339712644,185.6416667
Sesamum,Odisha,2020,21330,5268.51,247,6855,4.300517241,185.6416667
Sesamum,Puducherry,2020,188,153.03,814,6855,4.280287356,185.6416667
Sesamum,Punjab,2020,2500,960,384,6855,1.616724138,185.6416667
Sesamum,Rajasthan,2020,305879,126022.15,412,6855,1.255114943,185.6416667
Sesamum,Tamil Nadu,2020,52690,34459.26,654,6855,2.749683908,185.6416667
Sesamum,Telangana,2020,23000,14881,647,6855,3.69658046,185.6416667
Sesamum,Tripura,2020,5862,3968.57,677,6855,5.606178161,185.6416667
Sesamum,Uttar Pradesh,2020,317000,98270,310,6855,2.165373563,185.6416667
Sesamum,Uttarakhand,2020,2000,530,265,6855,3.795,185.6416667
Sesamum,West Bengal,2020,259098,192509.81,743,6855,5.26408046,185.6416667
Small Millets,Andhra Pradesh,2020,22000,19008,864,5840.46,3.367614943,171.2583333
Small Millets,Assam,2020,4973,3262.29,656,5837.26,6.03566092,171.2583333
Small Millets,Bihar,2020,2174,1637.02,753,5837.26,3.886293103,171.2583333
Small Millets,Chhattisgarh,2020,84620,21831.96,258,5837.26,4.031810345,171.2583333
Small Millets,Gujarat,2020,8460,13036.86,1541,5510.18,2.988994253,171.2583333
Small Millets,Himachal Pradesh,2020,2405,2337.66,972,5805.96,2.65066092,171.2583333
Small Millets,Jammu And Kashmir,2020,8110,2141.04,264,5837.26,3.958965517,171.2583333
Small Millets,Karnataka,2020,26000,20228,778,5837.26,3.477413793,171.2583333
Small Millets,Kerala,2020,50,37.25,745,5837.26,7.146005747,171.2583333
Small Millets,Madhya Pradesh,2020,78000,69420,890,5840.46,2.917011494,171.2583333
Small Millets,Maharashtra,2020,37000,16724,452,5837.26,3.371494253,171.2583333
Small Millets,Meghalaya,2020,2893,2722.31,941,5840.46,13.48772989,171.2583333
Small Millets,Nagaland,2020,8830,9977.9,1130,5800.36,4.339712644,171.2583333
Small Millets,Odisha,2020,35250,18012.75,511,5837.26,4.300517241,171.2583333
Small Millets,Rajasthan,2020,6501,4290.66,660,5837.26,1.255114943,171.2583333
Small Millets,Tamil Nadu,2020,24470,30514.09,1247,5835.06,2.749683908,171.2583333
Small Millets,Telangana,2020,0,0,0,5837.26,3.69658046,171.2583333
Small Millets,Tripura,2020,1617,1295.22,801,5842.11,5.606178161,171.2583333
Small Millets,Uttar Pradesh,2020,12000,9180,765,5837.26,2.165373563,171.2583333
Small Millets,Uttarakhand,2020,49000,71001,1449,5833.26,3.795,171.2583333
Small Millets,West Bengal,2020,761,382.02,502,5837.26,5.26408046,171.2583333
Soybean,Andhra Pradesh,2020,2000,3088,1544,3880,3.367614943,167.15
Soybean,Arunachal Pradesh,2020,3139,4476.21,1426,3880,7.532816092,167.15
Soybean,Bihar,2020,24756,11437.27,462,3880,3.886293103,167.15
Soybean,Chhattisgarh,2020,68880,50557.92,734,3880,4.031810345,167.15
Soybean,Gujarat,2020,149170,202423.69,1357,3880,2.988994253,167.15
Soybean,Himachal Pradesh,2020,517,413.08,799,3880,2.65066092,167.15
Soybean,Jharkhand,2020,997,744.76,747,3880,3.297471264,167.15
Soybean,Karnataka,2020,311000,376932,1212,3880,3.477413793,167.15
Soybean,Madhya Pradesh,2020,6674000,4264686,639,3880,2.917011494,167.15
Soybean,Maharashtra,2020,4289700,6262962,1460,3880,3.371494253,167.15
Soybean,Manipur,2020,4904,4286.1,874,3880,3.669310345,167.15
Soybean,Meghalaya,2020,1878,3590.74,1912,3880,13.48772989,167.15
Soybean,Mizoram,2020,1249,1979.67,1585,3880,4.523735632,167.15
Soybean,Nagaland,2020,25190,31865.35,1265,3880,4.339712644,167.15
Soybean,Rajasthan,2020,1129697,1094676.39,969,3880,1.255114943,167.15
Soybean,Sikkim,2020,2957,2886.03,976,3880,9.112873563,167.15
Soybean,Telangana,2020,162000,243486,1503,3880,3.69658046,167.15
Soybean,Uttar Pradesh,2020,58000,39846,687,3880,2.165373563,167.15
Soybean,Uttarakhand,2020,8000,9752,1219,3880,3.795,167.15
Soybean,West Bengal,2020,244,206.91,848,3880,5.26408046,167.15
Sugarcane,Andaman And Nicobar Islands,2020,0,0,0,285,0,179.45
Sugarcane,Andhra Pradesh,2020,55000,4138640,75248,285,3.367614943,179.45
Sugarcane,Arunachal Pradesh,2020,2151,46437.94,21589,285,7.532816092,179.45
Sugarcane,Assam,2020,30496,1093129.12,35845,285,6.03566092,179.45
Sugarcane,Bihar,2020,221119,12109803.15,54766,285,3.886293103,179.45
Sugarcane,Chhattisgarh,2020,31550,1756388.5,55670,285,4.031810345,179.45
Sugarcane,Goa,2020,545,35633,65382,285,11.63140805,179.45
Sugarcane,Gujarat,2020,219260,16954718.02,77327,285,2.988994253,179.45
Sugarcane,Haryana,2020,99000,8531721,86179,285,1.379454023,179.45
Sugarcane,Himachal Pradesh,2020,1468,22676.2,15447,285,2.65066092,179.45
Sugarcane,Jammu And Kashmir,2020,38,84.47,2223,285,3.958965517,179.45
Sugarcane,Karnataka,2020,443000,42528000,96000,285,3.477413793,179.45
Sugarcane,Kerala,2020,921,106661.01,115810,285,7.146005747,179.45
Sugarcane,Madhya Pradesh,2020,95000,5440650,57270,285,2.917011494,179.45
Sugarcane,Maharashtra,2020,1142800,105137600,92000,285,3.371494253,179.45
Sugarcane,Manipur,2020,4940,279411.34,56561,285,3.669310345,179.45
Sugarcane,Meghalaya,2020,130,390,3000,285,13.48772989,179.45
Sugarcane,Mizoram,2020,1377,42959.65,31198,285,4.523735632,179.45
Sugarcane,Nagaland,2020,4460,203019.2,45520,285,4.339712644,179.45
Sugarcane,Odisha,2020,7000,381311,54473,285,4.300517241,179.45
Sugarcane,Puducherry,2020,1336,187040,140000,285,4.280287356,179.45
Sugarcane,Punjab,2020,89300,7487001.3,83841,285,1.616724138,179.45
Sugarcane,Rajasthan,2020,4977,393735.45,79111,285,1.255114943,179.45
Sugarcane,Tamil Nadu,2020,127700,13284631,104030,285,2.749683908,179.45
Sugarcane,Telangana,2020,22000,1750980,79590,285,3.69658046,179.45
Sugarcane,Tripura,2020,860,48577.96,56486,285,5.606178161,179.45
Sugarcane,Uttar Pradesh,2020,2180000,178339260,81807,285,2.165373563,179.45
Sugarcane,Uttarakhand,2020,46000,3680000,80000,285,3.795,179.45
Sugarcane,West Bengal,2020,18803,1418253.88,75427,285,5.26408046,179.45
Sunflower,Andhra Pradesh,2020,12000,8300,692,5885,3.367614943,119.9333333
Sunflower,Arunachal Pradesh,2020,575,478.98,833,5885,7.532816092,119.9333333
Sunflower,Bihar,2020,6913,9852.82,1425,5885,3.886293103,119.9333333
Sunflower,Chhattisgarh,2020,10,7.02,702,5885,4.031810345,119.9333333
Sunflower,Gujarat,2020,180,351.54,1953,5885,2.988994253,119.9333333
Sunflower,Haryana,2020,12290,24629.16,2004,5885,1.379454023,119.9333333
Sunflower,Jharkhand,2020,274,162.95,595,5885,3.297471264,119.9333333
Sunflower,Karnataka,2020,120000,107725,898,5885,3.477413793,119.9333333
Sunflower,Kerala,2020,1,0.3,300,5885,7.146005747,119.9333333
Sunflower,Maharashtra,2020,26050,12148.65,466,5885,3.371494253,119.9333333
Sunflower,Nagaland,2020,2730,1770.48,649,5885,4.339712644,119.9333333
Sunflower,Odisha,2020,18130,24489.67,1351,5885,4.300517241,119.9333333
